Point1,Point2,Point3,Point4
0.40985098,1.2003899,1.2003899,2.4007798
6.085395,2.7033744,2.7033744,5.4067488
8.527127,47.79535,47.79535,95.5907
3.9366934,0.23609415,0.23609415,0.4721883
0,0.527999,0.527999,1.055998
18.568962,5.263993,5.263993,10.527986
9.193558,6.2830124,6.2830124,12.5660248
7.4864817,5.141045,5.141045,10.28209
6.5404825,5.1209793,5.1209793,10.2419586
0.1800003,2.6630027,2.6630027,5.3260054
0.1253092,4.3146324,4.3146324,8.6292648
0,1.6743077,1.6743077,3.3486154
2.5274637,2.8141804,2.8141804,5.6283608
0,0.82251066,0.82251066,1.64502132
0,0.9798119,0.9798119,1.9596238
0,2.3994622,2.3994622,4.7989244
0,2.2143936,2.2143936,4.4287872
12.694721,14.504364,14.504364,29.008728
2.9353752,2.41377,2.41377,4.82754
0.16516292,2.893218,2.893218,5.786436
2.4538682,1.3158191,1.3158191,2.6316382
0.39871028,6.5924664,6.5924664,13.1849328
4.1728888,1.3264769,1.3264769,2.6529538
1.926839,0.7679351,0.7679351,1.5358702
4.853471,0.77007014,0.77007014,1.54014028
0,0.116267875,0.116267875,0.23253575
0,0.12291373,0.12291373,0.24582746
0.20399782,2.6705306,2.6705306,5.3410612
0,0.67153496,0.67153496,1.34306992
0,1.2564799,1.2564799,2.5129598
0,0.97405887,0.97405887,1.94811774
0,0,0,0
0,0,0,0
0,2.0407977,2.0407977,4.0815954
3.601008,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.601008,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25.618826,65.60768,65.60768,131.21536
18.456383,5.3136463,5.3136463,10.6272926
1.7648456,0.26741612,0.26741612,0.53483224
8.14965,0,0,0
31.461464,5.6287775,5.6287775,11.257555
0.2374051,2.673604,2.673604,5.347208
0,0.22631478,0.22631478,0.45262956
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6.0843186,0.37685075,0.37685075,0.7537015
0.21543454,7.774642,7.774642,15.549284
0.42518267,2.0788434,2.0788434,4.1576868
3.9669788,9.275384,9.275384,18.550768
1.8441501,14.677679,14.677679,29.355358
13.311465,16.646523,16.646523,33.293046
51.662304,11.052736,11.052736,22.105472
0,0,0,0
21.05909,0.17440182,0.17440182,0.34880364
1.9124286,0,0,0
9.903052,1.9041749,1.9041749,3.8083498
12.308681,0.9417698,0.9417698,1.8835396
0.724139,10.818403,10.818403,21.636806
10.834777,0.8343028,0.8343028,1.6686056
0.2813896,10.571538,10.571538,21.143076
18.43415,8.901757,8.901757,17.803514
1.0552465,37.587242,37.587242,75.174484
0,0,0,0
0,0,0,0
0,0,0,0
0,1.1743387,1.1743387,2.3486774
0.4021603,11.704798,11.704798,23.409596
12.647546,22.238813,22.238813,44.477626
5.043714,6.9736276,6.9736276,13.9472552
0,0,0,0
0.677406,9.453666,9.453666,18.907332
5.4843845,1.7028565,1.7028565,3.405713
0.17056213,3.5899146,3.5899146,7.1798292
0,1.4620284,1.4620284,2.9240568
12.178856,0.6511001,0.6511001,1.3022002
20.296127,68.91272,68.91272,137.82544
0,0.8369089,0.8369089,1.6738178
7.964925,7.4380765,7.4380765,14.876153
0.13971518,6.6361156,6.6361156,13.2722312
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
